title,url,releaseDate
Binance Auto-Invest Enables API Functionality,https://www.binance.com/en/support/announcement/Binance-Auto-Invest-Enables-API-Functionality-4c01775bad1f42b9b85abe20fcf2b2c5,1687861203612
Binance Liquid Swap Upgrades Pool Prices WebSocket,https://www.binance.com/en/support/announcement/Binance-Liquid-Swap-Upgrades-Pool-Prices-WebSocket-f56a9afff26843c588391ba77ca7486c,1686749501018
Binance API Key System Upgrade Notice (2023-05-17),https://www.binance.com/en/support/announcement/Binance-API-Key-System-Upgrade-Notice-2023-05-17-24b9c69eda514cb4b73fa79831da005c,1684119004165
Binance Spot Launches TWAP (Time-Weighted Average Price) on API,https://www.binance.com/en/support/announcement/Binance-Spot-Launches-TWAP-Time-Weighted-Average-Price-on-API-6f450412c2d1472ba30c007dd4dd1a91,1682647288624
Binance API Key System Upgrade Notice (2023-02-09),https://www.binance.com/en/support/announcement/Binance-API-Key-System-Upgrade-Notice-2023-02-09-a6274f9d2e0845068eaff7ef21afd793,1675735205190
Binance Spot Launches Self-Trade Prevention (STP) Function on API,https://www.binance.com/en/support/announcement/Binance-Spot-Launches-Self-Trade-Prevention-STP-Function-on-API-312fd0112fb44635b397c116e56d8f84,1674627924907
Binance Now Supports RSA API Keys (2022-12-29),https://www.binance.com/en/support/announcement/Binance-Now-Supports-RSA-API-Keys-2022-12-29-f418fed3f05f4854a7bbccaad3104a1c,1672304402163
API Functionality Now Enabled for Binance Staking,https://www.binance.com/en/support/announcement/API-Functionality-Now-Enabled-for-Binance-Staking-0909cffc52794c5fb4ad81d38bf97503,1657879226914
Binance Launches Fast API,https://www.binance.com/en/support/announcement/Binance-Launches-Fast-API-2869ef5bfb81420691ebed1bcca272f7,1656036011698
Introducing Binance API Page,https://www.binance.com/en/support/announcement/Introducing-Binance-API-Page-8821f4e9cbf8452996f56f6d2f68b8a3,1653551702094
Binance Futures Launches Time-Weighted Average Price Trading Algorithm on API,https://www.binance.com/en/support/announcement/Binance-Futures-Launches-Time-Weighted-Average-Price-Trading-Algorithm-on-API-56b1440447ff4c678b93b081de8a6f34,1651125604354
Updates on SAPI Rules (2021-11-04),https://www.binance.com/en/support/announcement/Updates-on-SAPI-Rules-2021-11-04-07993af2759c445899ca64e2428fcb3a,1636005211799
Updates on SAPI Transfer Types (2021-10-27),https://www.binance.com/en/support/announcement/Updates-on-SAPI-Transfer-Types-2021-10-27-ead60fd4395c4d69a124e786fed2c50b,1635327982955
Updates to the Time Range of Data Retrieval via Binance Margin SAPI,https://www.binance.com/en/support/announcement/Updates-to-the-Time-Range-of-Data-Retrieval-via-Binance-Margin-SAPI-d610cbed2a55407a98e427af95ccf69d,1632472201056
Updates to API Services,https://www.binance.com/en/support/announcement/Updates-to-API-Services-654c092a2a2347bdb5ccd6faa0c6c039,1628222424524
Updates to Binance Margin SAPI Create Margin Account,https://www.binance.com/en/support/announcement/Updates-to-Binance-Margin-SAPI-Create-Margin-Account-3da69b7a633a447484830849b765c6ab,1619587049298
Notice on Adjusting the Request Weight of Rest API Endpoints,https://www.binance.com/en/support/announcement/Notice-on-Adjusting-the-Request-Weight-of-Rest-API-Endpoints-f3d75a44fc7b4610b080b9c3499ed075,1619424336969
Notice to API Users on Delisting WAPI Endpoints,https://www.binance.com/en/support/announcement/Notice-to-API-Users-on-Delisting-WAPI-Endpoints-f45dde7da58b473aa885349946bed269,1618299587094
Binance Futures Launches Volume Participation Trading Algorithm on API,https://www.binance.com/en/support/announcement/Binance-Futures-Launches-Volume-Participation-Trading-Algorithm-on-API-788abaf16e6a48ca8842c8e154f5998d,1649839542033
Binance Futures API Websocket User Data Stream Upgrade (2021-04-23),https://www.binance.com/en/support/announcement/Binance-Futures-API-Websocket-User-Data-Stream-Upgrade-2021-04-23-bcc9e902421a46398771c5f15f550685,1619185509461
