title,url,releaseDate
"Binance Margin Will Delist the ATA/BUSD, FORTH/BUSD, JST/BUSD, QTUM/BUSD, SUN/BUSD, ZEN/BUSD & ZRX/BUSD Isolated Margin Pairs",https://www.binance.com/en/support/announcement/Binance-Margin-Will-Delist-the-ATA-BUSD--FORTH-BUSD--JST-BUSD--QTUM-BUSD--SUN-BUSD--ZEN-BUSD-ZRX-BUSD-Isolated-Margin-Pairs-1b4044db45834ae6b367e12ac776215c,1688703003727
Notice of Removal of Trading Pairs - 2023-07-05,https://www.binance.com/en/support/announcement/Notice-of-Removal-of-Trading-Pairs---2023-07-05-d9349160f5504b87bd7948d8c36c4615,1688372704022
"Binance Margin Will Delist MBL/BUSD, PUNDIX/BUSD Cross Margin Pairs and FARM/BUSD, LSK/BUSD, MBL/BUSD, PLA/BUSD, PUNDIX/BUSD, SC/BUSD Isolated Margin Pairs",https://www.binance.com/en/support/announcement/Binance-Margin-Will-Delist-MBL-BUSD--PUNDIX-BUSD-Cross-Margin-Pairs-and-FARM-BUSD--LSK-BUSD--MBL-BUSD--PLA-BUSD--PUNDIX-BUSD--SC-BUSD-Isolated-Margin-Pairs-8915d06693ed49f78262c80b6d54c13a,1686815412709
Notice of Removal of Trading Pairs - 2023-06-14,https://www.binance.com/en/support/announcement/Notice-of-Removal-of-Trading-Pairs---2023-06-14-ca6a53640b174613821bc993d3fd9bca,1686555013494
"Binance Margin Will Delist the BNT/BUSD, CVX/BTC, POLS/BUSD, POWR/BUSD, STPT/BUSD & STRAX/BUSD Isolated Margin Pairs",https://www.binance.com/en/support/announcement/Binance-Margin-Will-Delist-the-BNT-BUSD--CVX-BTC--POLS-BUSD--POWR-BUSD--STPT-BUSD-STRAX-BUSD-Isolated-Margin-Pairs-cd599a0f00004f399b03b8077788e39c,1686550803118
Binance Futures Will Delist and Update the Leverage & Margin Tiers of USDⓈ-M 1000LUNCBUSD Perpetual Contract,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Delist-and-Update-the-Leverage-Margin-Tiers-of-USDⓈ-M-1000LUNCBUSD-Perpetual-Contract-0e84e685101d457a95cbe5c550b6e891,1685610906427
Notice of Removal of Trading Pairs - 2023-06-01,https://www.binance.com/en/support/announcement/Notice-of-Removal-of-Trading-Pairs---2023-06-01-bd9a8eb9e0c940278d888cb95b76ba41,1685088001922
Binance Futures Will Delist and Update the Leverage & Margin Tiers of USDⓈ-M 1000SHIBBUSD Perpetual Contract,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Delist-and-Update-the-Leverage-Margin-Tiers-of-USDⓈ-M-1000SHIBBUSD-Perpetual-Contract-51ac7ced06274cd08710b38289e2ea43,1685007904026
Notice of Removal of Trading Pairs - 2023-05-26,https://www.binance.com/en/support/announcement/Notice-of-Removal-of-Trading-Pairs---2023-05-26-d2c3ba4339604af2855bfe950d1ceaa4,1684899904672
Binance Futures Will Delist and Update the Leverage & Margin Tiers of USDⓈ-M LINKBUSD Perpetual Contract,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Delist-and-Update-the-Leverage-Margin-Tiers-of-USDⓈ-M-LINKBUSD-Perpetual-Contract-e7d6bc2aa47c42a28d2e023a7ceb7234,1684470616021
