title,url,releaseDate
Binance Adds XVG on Isolated Margin,https://www.binance.com/en/support/announcement/Binance-Adds-XVG-on-Isolated-Margin-580de383967f459ba1306d67886d5978,1688612403406
Binance Futures Will Launch USDⓈ-M XVG Perpetual Contract With Up to 20x Leverage,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Launch-USDⓈ-M-XVG-Perpetual-Contract-With-Up-to-20x-Leverage-673af51d78494b5c945dadba6e5072b3,1688468407961
Introducing Pendle (PENDLE) on Binance Launchpool! Farm PENDLE by Staking BNB and TUSD,https://www.binance.com/en/support/announcement/Introducing-Pendle-PENDLE-on-Binance-Launchpool-Farm-PENDLE-by-Staking-BNB-and-TUSD-8baee8ca20d64074ba503aa3963e952e,1688378424526
Binance Will List Pendle (PENDLE) in the Innovation Zone,https://www.binance.com/en/support/announcement/Binance-Will-List-Pendle-PENDLE-in-the-Innovation-Zone-56c9c5899f3747b2b9a0452450f5eb24,1688365335567
Binance Adds MAV on Cross Margin & Isolated Margin,https://www.binance.com/en/support/announcement/Binance-Adds-MAV-on-Cross-Margin-Isolated-Margin-e080cbc6425f40d196c8aa0954cf3af4,1688355004449
Binance Futures Will Launch USDⓈ-M MDT Perpetual Contract With Up to 20x Leverage,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Launch-USDⓈ-M-MDT-Perpetual-Contract-With-Up-to-20x-Leverage-dd177db1a04e4c0ea6c1569b63bed988,1688022100973
Binance Futures Will Launch USDⓈ-M MAV Perpetual Contract With Up to 20x Leverage,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Launch-USDⓈ-M-MAV-Perpetual-Contract-With-Up-to-20x-Leverage-cd356f940975408a8931e4768206a82e,1687940132338
Binance Will Open Trading for Maverick Protocol (MAV),https://www.binance.com/en/support/announcement/Binance-Will-Open-Trading-for-Maverick-Protocol-MAV-d4694febb3dd45da81348502484bf154,1687856418603
Binance Futures Will List Coin-Margined Quarterly 1229 Futures Contracts,https://www.binance.com/en/support/announcement/Binance-Futures-Will-List-Coin-Margined-Quarterly-1229-Futures-Contracts-5bf60d75d57a45f0bce9b32acb91f667,1687829708001
Binance Futures Will List USDⓈ-M BTC & ETH Quarterly 0929 Futures Contracts,https://www.binance.com/en/support/announcement/Binance-Futures-Will-List-USDⓈ-M-BTC-ETH-Quarterly-0929-Futures-Contracts-abdd54ff45164dca9f78668a002fd3b0,1687422606785
Binance Futures Will Launch USDⓈ-M NMR Perpetual Contract With Up to 20X Leverage,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Launch-USDⓈ-M-NMR-Perpetual-Contract-With-Up-to-20X-Leverage-3e95295a2c554f87b27e7ecf544e1e61,1687334423410
Introducing Maverick Protocol (MAV) on Binance Launchpool! Farm MAV by Staking BNB and TUSD,https://www.binance.com/en/support/announcement/Introducing-Maverick-Protocol-MAV-on-Binance-Launchpool-Farm-MAV-by-Staking-BNB-and-TUSD-a28d005ed545464cbb9a3661c26e6b38,1686657300877
Binance Adds COMBO & More Pairs on Cross Margin & Isolated Margin,https://www.binance.com/en/support/announcement/Binance-Adds-COMBO-More-Pairs-on-Cross-Margin-Isolated-Margin-c168677ec865400191c9088cace0a602,1686105905918
Binance Futures Will Update the Leverage & Margin Tiers of USDⓈ-M MTLUSDT Perpetual Contract,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Update-the-Leverage-Margin-Tiers-of-USDⓈ-M-MTLUSDT-Perpetual-Contract-c7e821badb7d44969e8a346551382a3c,1686053083324
Binance Futures Will Launch USDⓈ-M COMBO Perpetual Contract With Up to 20X Leverage,https://www.binance.com/en/support/announcement/Binance-Futures-Will-Launch-USDⓈ-M-COMBO-Perpetual-Contract-With-Up-to-20X-Leverage-e3ac2a89692c4f31a1d9daca616b6ce9,1685615673769
"Binance Adds MAV/TRY, OCEAN/TRY & TUSD/TRY Trading Pairs",https://www.binance.com/en/support/announcement/Binance-Adds-MAV-TRY--OCEAN-TRY-TUSD-TRY-Trading-Pairs-37d877e144b74989ba89d77d3ca21e0f,1688616035956
Binance Adds BCH/TUSD & CFX/TUSD Trading Pairs,https://www.binance.com/en/support/announcement/Binance-Adds-BCH-TUSD-CFX-TUSD-Trading-Pairs-71de25c84f5b4333a5dc49a583b8fc27,1688010626715
"Binance Adds BTC/ARS, OP/TRY & PAXG/TRY Trading Pairs",https://www.binance.com/en/support/announcement/Binance-Adds-BTC-ARS--OP-TRY-PAXG-TRY-Trading-Pairs-52856d6e5ec9455db5aeb23581bd41c8,1687230603750
Binance Adds BTC/NGN & USDT/ZAR Trading Pairs,https://www.binance.com/en/support/announcement/Binance-Adds-BTC-NGN-USDT-ZAR-Trading-Pairs-8353eb8639814e0c90197422837d17e4,1686203705268
Binance Adds LTC/TRY and RAD/TRY Trading Pairs,https://www.binance.com/en/support/announcement/Binance-Adds-LTC-TRY-and-RAD-TRY-Trading-Pairs-d6385f78651f415f829bbe7e72243d79,1686028215425
